"location" "source" "target"
"context,source,target,developer_comments" "" ""
"juno-new-origins,Juno:" "New" ""
"jno,JNO,JNO,""The" "community" ""
"vizzy,Vizzy,Vizzy,""The" "in-game" ""
"funkytrees,FunkyTrees,FunkyTrees,""The" "expression" ""
"drood,Drood,Drood,""The" "game's" ""
"jundroo,Jundroo,Jundroo,The" "studio" ""
"credits-people,Credits" "names,Credits" ""
"body-00,Juno,Juno,The" "star" ""
"body-01,Droo,Droo,""The" "home" ""
"body-02,Brigo,Brigo,""A" "moon" ""
"body-03,Luna,Luna,""A" "moon" ""
"body-04,T.T.,T.T.,A" "moon" ""
"body-05,Vulco,Vulco,""A" "planet," ""
"body-06,Sergeaa,Sergeaa,""A" "planet," ""
"body-07,Oord,Oord,""A" "moon" ""
"body-08,Cylero,Cylero,""A" "planet," ""
"body-09,Niobe,Niobe,A" "moon" ""
"body-10,Herma,Herma,""A" "moon" ""
"body-11,Handrew's" "Comet,Handrew's" ""
"body-12,Tydos,Tydos,""A" "planet." ""
"body-13,Nebra,Nebra,""A" "moon" ""
"body-14,Miros,Miros,""A" "moon" ""
"body-15,Orcus,Orcus,A" "moon" ""
"body-16,Urados,Urados,""A" "planet." ""
"body-17,Jastrus,Jastrus,""A" "moon" ""
"body-18,Boreas,Boreas,A" "moon" ""
"body-19,Taurus,Taurus,A" "moon" ""
"body-20,Hypatchion,Hypatchion,""A" "moon" ""
"body-21,Cladh,Cladh,""A" "celestial" ""
"term-00,craft,craft,""Anything" "the" ""
"term-01,part,part,""A" "single" ""
"term-02,stage,stage,""A" "group" ""
"term-03,staging,staging,""The" "ordered" ""
"term-04,activation" "group,activation" ""
"term-05,command" "pod,command" ""
"term-06,subassembly,subassembly,""A" "saved" ""
"term-07,Designer,Designer,The" "build-mode" ""
"term-08,Tech" "Tree,Tech" ""
"term-09,Tech" "Points,Tech" ""
"term-10,Sandbox,Sandbox,""A" "game" ""
"term-11,Career,Career,""A" "game" ""
"term-12,Hybrid,Hybrid,""A" "game" ""
"term-13,contract,contract,A" "career-mode" ""
"term-14,payload,payload,""In" "career" ""
"term-15,nav" "sphere,nav" ""
"term-16,throttle,throttle,""The" "engine" ""
"term-17,thrust,thrust,The" "force" ""
"term-18,drag,drag,Aerodynamic" "resistance" ""
"term-19,lift,lift,The" "aerodynamic" ""
"term-20,Delta-V,Delta-V,""The" "total" ""
"term-21,Isp,Isp,Specific" "impulse" ""
"term-22,RCS,RCS,Reaction" "Control" ""
"term-23,orbit,orbit,""The" "path" ""
"term-24,Apoapsis,Apoapsis,The" "highest" ""
"term-25,Periapsis,Periapsis,The" "lowest" ""
"term-26,Inclination,Inclination,""The" "tilt" ""
"term-27,Eccentricity,Eccentricity,""How" "far" ""
"term-28,Semi-Major" "Axis,Semi-Major" ""
"term-29,Ascending" "Node,Ascending" ""
"term-30,True" "Anomaly,True" ""
"term-31,Sphere" "of" ""
"term-32,celestial" "body,celestial" ""
"term-33,atmosphere,atmosphere,""The" "gas" ""
"term-34,re-entry,re-entry,""Returning" "through" ""
"term-35,fuel" "tank,fuel" ""
"term-36,propellant,propellant,The" "consumable" ""
"term-37,launch" "location,launch" ""
"term-38,crew,crew,The" "Droods" ""
"term-39,funds,funds,""The" "career-mode" ""
