context,source,target,developer_comments
juno-new-origins,Juno: New Origins,Juno: New Origins,"The name of the game. Never translated and never reordered. The community commonly shortens it to ""Juno"" or ""JNO"" and both are fine to keep as-is; do not invent a shortening in your own language."
jno,JNO,JNO,"The community abbreviation of ""Juno: New Origins"". Keep the three Latin letters unchanged."
vizzy,Vizzy,Vizzy,"The in-game visual programming language players use to script craft. A product name, not a word: keep it as ""Vizzy"" in every language."
funkytrees,FunkyTrees,FunkyTrees,"The expression language used for custom part and control inputs, also reached from the fUnK block in Vizzy. A product name: keep as ""FunkyTrees"", and keep the fUnK block's spelling exactly as written."
drood,Drood,Drood,"The game's characters - the crew a player flies. A proper name: do not replace it with ""astronaut"", ""dude"", or any similar word, however tempting. Transliterating it into your language's script is fine, as long as you do it consistently."
jundroo,Jundroo,Jundroo,The studio that makes the game. Never translated.
credits-people,Credits names,Credits names,"Personal and organisation names in the credits are never translated or transliterated. Where a credit reads ""by <name>"", translate only the word ""by"" and leave the name exactly as written. This applies to every name in the credits screen."
body-00,Juno,Juno,The star at the centre of the main system. The game is named after it.
body-01,Droo,Droo,"The home planet, where players launch from. Wordplay on the studio name, Jundroo."
body-02,Brigo,Brigo,"A moon of Droo. Named after Brigantium, the Roman name for the city of A Coruna."
body-03,Luna,Luna,"A moon of Droo, sharing the Latin name of our own Moon."
body-04,T.T.,T.T.,A moon of Droo. Keep the letters and both periods exactly as written.
body-05,Vulco,Vulco,"A planet, tidally locked to Juno and the hottest world in the system. Named after Vulcan, the Roman god of fire."
body-06,Sergeaa,Sergeaa,"A planet, volcanic, with lava lakes and obsidian terrain. The name was coined by the community, referencing sergals."
body-07,Oord,Oord,"A moon of Sergeaa. The name is ""Droo"" spelled backwards. If your language transliterates Droo, mirror that here so the reversal still reads - this relationship matters more than the letters."
body-08,Cylero,Cylero,"A planet, the game's Mars analogue. The name was picked for its sound and carries no meaning."
body-09,Niobe,Niobe,A moon of Cylero. Named after Niobe of Greek mythology.
body-10,Herma,Herma,"A moon of Cylero. Named after the herma, a Greek sculpture associated with Hermes."
body-11,Handrew's Comet,Handrew's Comet,"A comet. The name is wordplay on Halley's Comet and Andrew, the creator of the game."
body-12,Tydos,Tydos,"A planet. The name was proposed by the community. It shares the ""-dos"" ending with Urados on purpose; keep the two matching in your language."
body-13,Nebra,Nebra,"A moon of Tydos. ""Nebra"" is the Galician word for fog."
body-14,Miros,Miros,"A moon of Tydos. Inherited from a community project, where the name referenced the moon Miranda; it was later reworked to resemble Iapetus."
body-15,Orcus,Orcus,A moon of Tydos. Named after Orcus of Roman mythology.
body-16,Urados,Urados,"A planet. The name blends Uranus with the ""-dos"" ending of Tydos; the two planets are meant to share that ending, so keep them matching in your language."
body-17,Jastrus,Jastrus,"A moon of Urados. The name blends Jastro, a well-known member of the community, with Janus."
body-18,Boreas,Boreas,A moon of Urados. Named after Boreas of Greek mythology.
body-19,Taurus,Taurus,A moon of Urados. The name was proposed by the community.
body-20,Hypatchion,Hypatchion,"A moon of Urados. The name blends Hypatch, a well-known member of the community, with Hyperion."
body-21,Cladh,Cladh,"A celestial body. ""Cladh"" is Scottish Gaelic for graveyard."
term-00,craft,craft,"Anything the player builds and flies - rocket, plane, rover, probe or station. The general word; prefer it over 'vehicle' or 'ship' unless the English says otherwise."
term-01,part,part,"A single component placed in the Designer (a tank, wing, engine). The building block of a craft."
